text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Ai rùi cũng sẽ có được Tình Yêu 💜 #phuongly #littlelove ,4/2/2024 20:06,2/4/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound,7.35326E+18,https://www.tiktok.com/@phuonglytran/video/7353255493030120720,221,9094,49,266000,238,60,"phuongly, littlelove",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,8,0,0,0,1,0,0,FALSE
Trước khi lên sân khấu thì manifets 1 chút 🤭💓💓💦 #phuongly #littlelove ,3/29/2024 21:01,29/03/2024,FALSE,https://www.tiktok.com/@phuonglytran,Little Love (But No Limit),7.29575E+18,https://www.tiktok.com/@phuonglytran/video/7351785101497322753,32,14800,52,298200,202,54,"phuongly, littlelove",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,9,0,0,0,1,0,0,FALSE
#Cartier night ✨ #phuongly ,3/23/2024 23:12,23/03/2024,FALSE,https://www.tiktok.com/@phuonglytran,Only Love,6.71498E+18,https://www.tiktok.com/@phuonglytran/video/7349592520667467009,77,8329,52,228100,139,50,"cartier, phuongly",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,1,0,0,0,0,1,1,FALSE
#phuongly #anhlangoailecuaem ,3/14/2024 23:07,14/03/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound,7.34625E+18,https://www.tiktok.com/@phuonglytran/video/7346251492153773313,29,48200,89,636400,1201,115,"phuongly, anhlangoailecuaem",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,2,0,0,0,0,0,1,0,FALSE
Kiss me more #phuongly #tiktokgiaitri ,3/12/2024 23:50,12/3/2024,FALSE,https://www.tiktok.com/@phuonglytran,Kiss me more,7.34127E+18,https://www.tiktok.com/@phuonglytran/video/7345520406188543233,16,37000,101,458200,1373,158,"phuongly, tiktokgiaitri",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,2,3,0,0,0,0,1,0,FALSE
HahaHuhu #phuongly #giaitritiktok ,3/10/2024 12:43,10/3/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound,7.34461E+18,https://www.tiktok.com/@phuonglytran/video/7344606308898819330,22,186900,1642,3800000,3048,861,"phuongly, giaitritiktok",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,2,1,0,0,1,0,0,1,FALSE
Lỡ kéo nhầm đười ươi huhu sin lỏi #phuongly #tiktokgiaitri ,3/8/2024 22:06,8/3/2024,FALSE,https://www.tiktok.com/@phuonglytran,Marikit sa Dilim,7.33211E+18,https://www.tiktok.com/@phuonglytran/video/7344009163430726914,10,186100,447,3900000,1683,336,"phuongly, tiktokgiaitri",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,2,8,0,0,0,0,1,0,FALSE
Vợ #phuongly #tiktokgiaitri ,3/6/2024 13:12,6/3/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound,7.34313E+18,https://www.tiktok.com/@phuonglytran/video/7343129359969979650,18,18200,30,307200,270,85,"phuongly, tiktokgiaitri",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,2,1,0,0,1,0,0,0,FALSE
🐣🤡 #phuongly #tiktokgiaitri ,3/5/2024 19:02,5/3/2024,FALSE,https://www.tiktok.com/@phuonglytran,Little Love (But No Limit),7.29575E+18,https://www.tiktok.com/@phuonglytran/video/7342848513807600898,14,8767,5,204700,149,34,"phuongly, tiktokgiaitri",FALSE,FALSE,phuonglytran,FALSE,FALSE,TRUE,1,2,0,0,0,0,1,0,0,FALSE
Nết ngủ 🤣 #phuongly #tiktokgiaitri #bichon #bichonfrise ,3/1/2024 22:07,1/3/2024,FALSE,https://www.tiktok.com/@phuonglytran,dźwięk oryginalny,7.30386E+18,https://www.tiktok.com/@phuonglytran/video/7341411794746887426,22,8414,11,209700,112,31,"phuongly, tiktokgiaitri, bichon, bichonfrise",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,4,2,0,0,0,0,1,0,FALSE
💗 #phuongly #tiktokgiaitri ,2/28/2024 21:26,28/02/2024,FALSE,https://www.tiktok.com/@phuonglytran,Anh Là Ngoại Lệ Của Em,7.28603E+18,https://www.tiktok.com/@phuonglytran/video/7340658981498522881,10,14500,19,258600,260,55,"phuongly, tiktokgiaitri",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,0,0,0,0,1,0,0,FALSE
Tập Band - ALNLCE kk 🫶🏻 #phuongly #anhlangoailecuaem #tiktokgiaitri ,2/25/2024 13:04,25/02/2024,FALSE,https://www.tiktok.com/@phuonglytran,Anh Là Ngoại Lệ Của Em,7.28603E+18,https://www.tiktok.com/@phuonglytran/video/7339416335706901761,88,231800,605,3700000,4936,632,"phuongly, anhlangoailecuaem, tiktokgiaitri",FALSE,FALSE,phuonglytran,FALSE,FALSE,TRUE,1,3,5,0,0,1,0,0,1,FALSE
😈😈 #phuongly #tiktokgiaitri ,2/22/2024 9:01,22/02/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound,7.33824E+18,https://www.tiktok.com/@phuonglytran/video/7338240432217935106,10,128500,118,1500000,2094,115,"phuongly, tiktokgiaitri",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,0,0,1,0,0,0,0,FALSE
Replying to @Ahri   Áo Dài đẹp ❤️ còn đây Kimono đây 🫶 🤭🤭 #phuongly #tiktokgiaitri #aodai #kimono ,2/18/2024 8:18,18/02/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.33675E+18,https://www.tiktok.com/@phuonglytran/video/7336745058076462338,13,57700,115,781500,991,123,", phuongly, tiktokgiaitri, aodai, kimono",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,3,4,11,0,1,0,0,0,1,FALSE
Konichiwa #phuongly ,2/14/2024 16:03,14/02/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.33538E+18,https://www.tiktok.com/@phuonglytran/video/7335380622132776193,13,82700,226,1100000,3341,161,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,1,1,0,0,1,0,0,0,FALSE
