kol_username,month_start,year_start,month_end,year_end,total_posts_pr,total_posts_nonpr,unique_music_pr,unique_music_nonpr,ttSeller,commerceUser,emoji_count_pr,emoji_count_nonpr,hashtag_count_pr,hashtag_count_nonpr,word_count_no_emoji_hashtag_pr,word_count_no_emoji_hashtag_nonpr,early_morning_pr,pr_ratio_early_morning,early_morning_nonpr,morning_pr,pr_ratio_morning,morning_nonpr,afternoon_pr,pr_ratio_afternoon,afternoon_nonpr,evening_pr,pr_ratio_evening,evening_nonpr,late_night_pr,pr_ratio_late_night,late_night_nonpr,is_weekend_pr,pr_ratio_weekend,is_weekend_nonpr,is_trending_pr,pr_ratio_trending,is_trending_nonpr,duration_pr,duration_nonpr,diggCount_pr,diggCount_nonpr,shareCount_pr,shareCount_nonpr,collectCount_pr,collectCount_nonpr,commentCount_pr,commentCount_nonpr,playCount_pr,playCount_nonpr,isSlideshow_pr,pr_ratio_slideshow,isSlideshow_nonpr,isSponsored_pr,pr_ratio_sponsored,isSponsored_nonpr,e_outlier_pr,pr_ratio_e_outlier,e_outlier_nonpr,follower_change_in_input_window,pr_engagement_rate_input,pr_post_ratio,female_percent,vietnam_follower,EngagementRateOnPRPost_target
itshale98,6,2024,8,2024,11,28,11,23,False,False,9,24,61,132,147,463,0,0.0,1,0,0.0,0,0,0.0,2,11,1.0,24,0,0.0,1,3,0.2727272727272727,7,1,0.0909090909090909,3,1177,2543,68124,531536,816,6531,1774,20481,277,2404,5826200,7928300,0,0.0,1,0,0.0,0,1,0.0909090909090909,1,675,0.0121847859668394,0.282051282051282,76.0,96.0,0.0034800723467476
itshale98,7,2024,9,2024,13,25,12,22,False,False,10,18,70,107,192,424,0,0.0,1,0,0.0,1,0,0.0,2,13,1.0,20,0,0.0,1,3,0.2307692307692307,8,1,0.0769230769230769,4,1582,2283,81485,480853,1166,4919,2472,18521,321,2183,10955600,6943501,0,0.0,1,0,0.0,0,3,0.2307692307692307,1,675,0.0077991164336047,0.3421052631578947,76.0,96.0,0.004564147815063
itshale98,8,2024,10,2024,11,27,9,25,False,False,8,23,58,111,166,412,0,0.0,1,0,0.0,2,0,0.0,2,11,1.0,22,0,0.0,0,2,0.1818181818181818,10,1,0.0909090909090909,4,1295,2398,91299,460732,1347,4526,3308,18190,436,2118,16671000,6788567,0,0.0,1,0,0.0,0,0,0.0,2,675,0.0057818967068562,0.2894736842105263,76.0,96.0,0.005957680990139
itshale98,10,2024,12,2024,9,44,9,37,False,False,5,36,48,209,137,580,0,0.0,1,0,0.0,2,1,0.1111111111111111,3,8,0.8888888888888888,35,0,0.0,3,3,0.3333333333333333,11,0,0.0,15,1088,4217,48505,136317,749,2088,2181,5395,357,1381,11459129,3670898,0,0.0,0,0,0.0,0,0,0.0,2,675,0.0045197152418826,0.1698113207547169,76.0,96.0,0.0041535698248765
itshale98,11,2024,1,2025,6,54,6,47,False,False,2,45,30,255,99,705,0,0.0,1,0,0.0,4,1,0.1666666666666666,5,5,0.8333333333333334,37,0,0.0,7,2,0.3333333333333333,15,0,0.0,32,801,5072,28456,186116,495,2583,1124,6568,167,1569,5266729,4270300,0,0.0,1,0,0.0,0,0,0.0,5,675,0.0057420839386268,0.1,76.0,96.0,0.0053667902542372
itshale98,12,2024,2,2025,5,49,5,46,False,False,3,44,28,228,77,673,0,0.0,0,0,0.0,4,1,0.2,7,4,0.8,31,0,0.0,7,1,0.2,17,1,0.2,28,624,4437,25989,181290,433,3414,883,7109,143,1359,4674600,4136450,0,0.0,1,0,0.0,0,0,0.0,6,675,0.005871732340735,0.0925925925925925,76.0,96.0,0.0067147471923087
itshale98,1,2025,3,2025,5,43,5,41,False,False,4,39,27,191,55,554,0,0.0,1,0,0.0,4,0,0.0,7,5,1.0,26,0,0.0,5,1,0.2,16,1,0.2,20,640,3437,8028,303208,206,9916,664,10202,133,1666,1733100,5745648,0,0.0,1,0,0.0,0,0,0.0,7,675,0.0052108937741619,0.1041666666666666,76.0,96.0,0.0033134593993325
thanhyvo,1,2024,3,2024,5,12,5,12,True,False,2,7,13,3,69,107,0,0.0,0,0,0.0,0,2,0.4,10,3,0.6,2,0,0.0,0,1,0.2,3,1,0.2,2,397,1036,274200,1146601,2026,3360,11201,35194,1420,5411,13063900,21235600,0,0.0,0,0,0.0,0,0,0.0,0,-10417,0.0221103192767856,0.2941176470588235,,,0.0127508670598237
thanhyvo,2,2024,4,2024,6,16,6,16,True,False,4,12,16,0,69,154,0,0.0,1,0,0.0,2,4,0.6666666666666666,12,2,0.3333333333333333,1,0,0.0,0,2,0.3333333333333333,5,1,0.1666666666666666,4,511,1375,196500,3327801,1623,24233,8213,130228,1274,17154,12627000,55007800,0,0.0,0,0,0.0,0,1,0.1666666666666666,1,-10136,0.0164417518016947,0.2727272727272727,,,0.0363393689255758
thanhyvo,4,2024,6,2024,15,20,14,20,True,False,7,12,30,7,200,236,0,0.0,1,1,0.0666666666666666,5,14,0.9333333333333332,11,0,0.0,3,0,0.0,0,4,0.2666666666666666,7,1,0.0666666666666666,5,1204,1506,625541,3274200,3400,25322,22513,128105,1590,18936,45154900,53260900,0,0.0,0,0,0.0,0,2,0.1333333333333333,1,-5381,0.0144623064163579,0.4285714285714285,,,0.0568317174515235
